close,volume,open,high,low
197.92,"31,075,847",198.61,199.495,197.05
197.92,31110640,198.68,199.495,197.05
199.74,20899720,200.29,201.57,199.57
199.8,26067510,197.77,200.99,197.35
195.57,21070330,198.43,199.26,195.29
198.58,18220420,198.54,200.16,198.17
198.78,47800590,198.8,200.85,198.15
199.46,21513990,200.37,200.61,198.03
197.87,21124240,199.68,199.88,197.31
198.45,26551000,196.05,200.29,195.21
193.89,14669140,192.9,194.96,192.17
192.74,18761470,191.545,193.5863,190.3
194.15,21674630,194.7,196.79,193.6
194.19,18253190,193.95,195.97,193.385
194.81,26932880,194.86,196,193.6
192.58,26220850,191.81,195.37,191.62
190.15,30684390,186.51,191.92,185.77
185.22,22526310,183.08,185.47,182.1489
182.54,29773430,184.28,184.99,181.14
179.64,30967960,175.44,179.83,174.52
173.3,40396070,175.6,177.92,170.27
175.07,27043580,176.23,177.99,174.99
178.3,21218410,177.95,179.23,176.67
177.38,28481170,176.42,179.35,176
178.23,27948160,178.92,180.59,177.91
178.97,23714690,180.2,182.14,178.62
179.66,36529740,179.8,180.54,177.81
182.78,29748560,184.66,185.71,182.55
186.6,28364850,185.22,188,184.7
183.09,38612290,183.52,184.349,180.2839
189,32879090,186.93,190.9,186.76
190.08,33031360,189.91,192.4689,188.84
190.92,26544720,186.27,191.75,186.02
188.66,36529680,186.41,189.7,185.41
185.72,57430620,187.71,189.48,182.85
197.18,41208710,197.419,198.85,192.77
200.72,34908610,200.4,201.68,196.66
202.9,26339500,201.9,205.34,201.75
202.86,38763700,205.88,207.4175,200.825
208.48,32443110,204.29,208.84,203.5
211.75,20892380,210.89,211.84,210.23
209.15,31996320,209.84,212.65,208.13
210.52,64827330,209.88,215.31,209.23
200.67,45751160,203.06,203.4,199.11
204.61,22010360,204.4,205.97,203.86
204.3,18612770,204.9,205,202.12
205.28,18463850,206.83,207.76,205.12
207.16,17427570,207.36,208.48,207.05
207.48,23286380,204.43,207.75,203.9
204.53,17841920,202.83,204.94,202.34
203.86,24185530,203.12,204.15,202.52
203.13,28865310,199.54,203.38,198.61
199.25,25668330,199.46,201.37,198.56
199.23,17524150,198.58,199.85,198.01
198.87,27738580,199.2,200.14,196.21
198.95,20543190,200.85,201,198.4431
200.62,21654750,198.68,200.74,198.18
199.5,35738280,200.32,202.85,199.23
200.1,25829880,196.42,200.23,196.34
197,18473070,196.45,197.1,195.93
195.69,19090050,194.79,196.37,193.14
195.35,23243160,193.25,196.5,193.15
194.02,22727370,191.09,194.46,191.05
191.24,27308200,191.64,191.68,188.38
189.95,23524830,189.83,190.08,188.54
